,text,cluster_number
0,"официальный представитель главы всемирной организации стефан дюжарик считает, что сейчас прорабатываются детали",-1
1,"заместитель генерального секретаря оон по гуманитарным вопросам том флетчер указал, что после установления перемирия всемирная организация намерена нарастить поставки помощи до сотен грузовиков в день",-1
2,так депутат прокомментировал резолюцию еп с призывом разрешить украине бить западным оружием по целям в россии без ограничений и сбивать самолеты рф в воздушном пространстве евросоюза,-1
3,"курс юаня достиг 11,331 рубля",-1
4,им грозит лишение свободы сроком до восьми лет,-1
5,"в пресс-службе академии подчеркнули, что вузу потребовалось два года, чтобы бизнес-школа вновь вошла в рейтинг",-1
6,это связано с началом активной фазы реализации плана президента сша дональда трампа по нормализации в секторе газа,-1
7,"президент т-технологий станислав близнюк отметил, что следующим этапом развития биометрических систем станет поведенческая биометрия",-1
8,"губернатор дмитрий миляев отметил, что в регионе сложился кластер производства оборудования и комплектующих материалов для нефтегазовой промышленности",-1
9,"руководитель всероссийского центра национальной строительной политики александр моор отметил, что это необходимо для возможности их дальнейшего сохранения при обращении в доход государства",-1
10,абдель фаттах ас-сиси высоко оценил усилия своего американского коллеги в рамках переговоров о прекращении огня в газе,-1
11,"евросоюз, которым сегодня заправляют фюреры, рискует превратиться в военную машину, если перестанет прислушиваться к позициям отдельных стран-членов. об этом заявил глава мид рф сергей лавров в эксклюзивном интервью rt. министр также прокомментировал кризис на ближнем востоке и оценил план трампа по его урегулированию, рассказал о военном присутствии россии в сирии и объяснил, как запад провоцирует конфликт с ираном из-за его ядерной программы. читать далее",-1
12,президент сша дональд трамп анонсировал подписание договорнности по газе в египте в ходе его визита. читать далее,-1
13,"врач-остеопат, невролог, мануальный терапевт александр евдокимов дал рекомендации по исправлению осанки. читать далее",-1
14,"противостояние евгения плющенко и алексея ягудина длилось не один год. оба начинали заниматься в группе алексея мишина и в детстве боролись за его внимание. в 1998-м ягудин переехал в сша к татьяне тарасовой после провала на олимпиаде в нагано. и на следующей опередил принципиального соперника в борьбе за золото. тот допустил падение в короткой программе и обвинил в этом приглашнного штабом оппонента психолога, якобы обладающего паранормальными способностями. даже по окончании карьеры легендарные фигуристы окончательно не наладили отношения и периодически оспаривали регалии друг друга. читать далее",-1
15,итальянских пловчих бенедетт пилато и кьяру тарантино отстранили от турниров после кражи в магазине аэропорта сингапура. читать далее,-1
